binning,bins_number,empirical_var,filename,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,sigma_x,sigma_y,variance,wavelength
False,1000,0.1947101331387202,sim_045_rg2.000_variance0.200_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.2,0.154
False,1000,0.1947101331387202,sim_046_rg2.000_variance0.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.2,0.154
False,1000,0.1947101331387202,sim_047_rg2.000_variance0.200_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.2,0.154
False,1000,0.292065199708083,sim_048_rg2.000_variance0.300_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.3,0.154
False,1000,0.292065199708083,sim_049_rg2.000_variance0.300_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.3,0.154
False,1000,0.292065199708083,sim_050_rg2.000_variance0.300_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.3,0.154
False,1000,0.292065199708083,sim_051_rg2.000_variance0.300_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.3,0.154
False,1000,0.38942026627744397,sim_052_rg2.000_variance0.400_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.4,0.154
False,1000,0.38942026627744397,sim_053_rg2.000_variance0.400_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.4,0.154
False,1000,0.38942026627744397,sim_054_rg2.000_variance0.400_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.4,0.154
False,1000,0.38942026627744397,sim_055_rg2.000_variance0.400_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.4,0.154
False,1000,0.48307886441849224,sim_056_rg2.000_variance0.500_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.5,0.154
False,1000,0.48307886441849224,sim_057_rg2.000_variance0.500_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.5,0.154
False,1000,0.48307886441849224,sim_058_rg2.000_variance0.500_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.5,0.154
False,1000,0.48307886441849224,sim_059_rg2.000_variance0.500_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.5,0.154
False,1000,0.651919672669977,sim_060_rg2.000_variance0.700_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.7,0.154
False,1000,0.651919672669977,sim_061_rg2.000_variance0.700_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.7,0.154
False,1000,0.651919672669977,sim_062_rg2.000_variance0.700_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.7,0.154
False,1000,0.651919672669977,sim_063_rg2.000_variance0.700_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.7,0.154
False,1000,0.7295071872936347,sim_064_rg2.000_variance0.800_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,0.8,0.154
False,1000,0.7295071872936347,sim_065_rg2.000_variance0.800_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,0.8,0.154
False,1000,0.7295071872936347,sim_066_rg2.000_variance0.800_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,0.8,0.154
False,1000,0.7295071872936347,sim_067_rg2.000_variance0.800_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,0.8,0.154
False,1000,0.8736983479039919,sim_068_rg2.000_variance1_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,1,1,0.154
False,1000,0.8736983479039919,sim_069_rg2.000_variance1_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,1,5,1,0.154
False,1000,0.8736983479039919,sim_070_rg2.000_variance1_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,1,1,0.154
False,1000,0.8736983479039919,sim_071_rg2.000_variance1_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,5,5,1,0.154
False,1000,0.009735506656937787,sim_072_rg4.000_variance0.010_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.01,0.154
False,1000,0.009735506656937787,sim_073_rg4.000_variance0.010_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.01,0.154
False,1000,0.009735506656937787,sim_074_rg4.000_variance0.010_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.01,0.154
False,1000,0.009735506656937787,sim_075_rg4.000_variance0.010_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.01,0.154
False,1000,0.09735506656936721,sim_076_rg4.000_variance0.100_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.1,0.154
False,1000,0.09735506656936721,sim_077_rg4.000_variance0.100_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.1,0.154
False,1000,0.09735506656936721,sim_078_rg4.000_variance0.100_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.1,0.154
False,1000,0.09735506656936721,sim_079_rg4.000_variance0.100_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.1,0.154
False,1000,0.1947101331387202,sim_080_rg4.000_variance0.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.2,0.154
False,1000,0.1947101331387202,sim_081_rg4.000_variance0.200_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.2,0.154
False,1000,0.1947101331387202,sim_082_rg4.000_variance0.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.2,0.154
False,1000,0.1947101331387202,sim_083_rg4.000_variance0.200_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.2,0.154
False,1000,0.2920651997080874,sim_084_rg4.000_variance0.300_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.3,0.154
False,1000,0.2920651997080874,sim_085_rg4.000_variance0.300_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.3,0.154
False,1000,0.2920651997080874,sim_086_rg4.000_variance0.300_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.3,0.154
False,1000,0.2920651997080874,sim_087_rg4.000_variance0.300_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.3,0.154
False,1000,0.3894202662774404,sim_088_rg4.000_variance0.400_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.4,0.154
False,1000,0.3894202662774404,sim_089_rg4.000_variance0.400_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.4,0.154
False,1000,0.3894202662774404,sim_090_rg4.000_variance0.400_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.4,0.154
False,1000,0.3894202662774404,sim_091_rg4.000_variance0.400_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.4,0.154
False,1000,0.4867753328468112,sim_092_rg4.000_variance0.500_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.5,0.154
False,1000,0.4867753328468112,sim_093_rg4.000_variance0.500_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.5,0.154
False,1000,0.4867753328468112,sim_094_rg4.000_variance0.500_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.5,0.154
False,1000,0.4867753328468112,sim_095_rg4.000_variance0.500_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.5,0.154
False,1000,0.6814854659855278,sim_096_rg4.000_variance0.700_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.7,0.154
False,1000,0.6814854659855278,sim_097_rg4.000_variance0.700_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.7,0.154
False,1000,0.6814854659855278,sim_098_rg4.000_variance0.700_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.7,0.154
False,1000,0.6814854659855278,sim_099_rg4.000_variance0.700_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.7,0.154
False,1000,0.7788405325548808,sim_100_rg4.000_variance0.800_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,0.8,0.154
False,1000,0.7788405325548808,sim_101_rg4.000_variance0.800_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,0.8,0.154
False,1000,0.7788405325548808,sim_102_rg4.000_variance0.800_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,0.8,0.154
False,1000,0.7788405325548808,sim_103_rg4.000_variance0.800_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,0.8,0.154
False,1000,0.9735506656936117,sim_104_rg4.000_variance1_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,1,1,0.154
False,1000,0.9735506656936117,sim_105_rg4.000_variance1_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,1,5,1,0.154
False,1000,0.9735506656936117,sim_106_rg4.000_variance1_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,1,1,0.154
False,1000,0.9735506656936117,sim_107_rg4.000_variance1_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,4.0,1500,5,5,1,0.154
